"week","mean","median","sd","skewness","kurtosis"
"2017-43",4681.94885943164,42,19702.1591934397,6.93952127825139,63.0020752402808
"2017-44",3677.26262344729,44,19193.5536390325,8.79893190497839,94.9696906446552
"2017-45",3555.50784410001,39,18150.4182084638,9.01250145658054,101.50557470046
"2017-46",4026.96955723865,84,20341.2055039752,8.2453525191665,81.010878797175
"2017-47",3681.96059421113,34,18452.519363518,8.70531409122097,92.5698691145742
"2017-48",4427.86774606225,28,21889.9703451578,7.71145017038354,71.4188719518438
"2017-49",4832.7920658456,32,22551.3286177032,7.38087737155129,67.6597237105728
"2017-50",3337.02152672413,24,19467.0290394098,9.68302417840809,110.611076760035
"2017-51",2692.78726035794,17,17153.2496004948,11.3223158594659,150.977713714867
"2017-52",3229.02326480281,61,18726.4271663167,10.4508728344968,128.557776241419
"2018-01",2443.96521682216,18,15457.2880589567,12.1605703764325,177.111710089269
"2018-02",2257.921168349,41,13601.2708777042,14.2320739218505,245.847775098904
"2018-03",4111.13634872444,196,17853.8095421814,9.78432654411522,118.254435506427
"2018-04",9700.64341472869,732,30802.3450743356,5.12482610508616,31.9519290678895
"2018-05",7141.12427340418,406,23030.4258493915,7.14478552593413,64.3843201316335
"2018-06",19818.9547319995,2057,35525.984748122,2.50217402128072,11.1302394086183
"2018-07",30533.2190709787,6221,43058.8437621683,1.68142449813896,6.12155945157614
"2018-08",18638.2504944628,957,36461.9736212434,2.7364541018657,12.2856247393826
"2018-09",24963.6722222388,911,45096.0869776395,2.29751518079633,8.27528154177209
"2018-10",19969.8209130375,2470,34164.9373360275,2.81529032260773,14.2114995797939
"2018-11",9956.70754151674,122,27613.2921549366,4.80302363504028,33.5683016759289
"2018-12",4791.37360848756,68,19888.3628189949,7.30711850543304,67.1789166176844
"2018-13",4734.09392154957,48,21543.9143391419,7.69488816701401,73.043148189837
"2018-14",3992.83119578594,51,15078.6079283203,8.79033161619589,108.385484992585
"2018-15",4421.02285440666,69,16066.0391899754,9.22415434669714,117.38163587048
"2018-16",5124.256944104,49,17164.9189574893,6.95343504211858,74.1504885376489
"2018-17",4876.71598580901,43,19347.750552613,7.01402911627024,64.2993062730437
"2018-18",5751.29839649734,48,22301.6347237865,6.30998337156312,47.5800111207567
"2018-19",3889.1392209918,58,17202.3459842381,8.35564437295733,85.2502701876885
"2018-20",3349.25605306752,37,17075.7802240743,10.8711617332549,146.532590226935
"2018-21",3206.02738349499,29,14655.5756268719,9.73236089002318,127.006382932066
"2018-22",6172.91865201624,51,22645.7316016678,5.47961164734762,38.901498506222
"2018-23",20736.3082522333,114,42622.2466217507,2.1337414920846,6.8016972658911
"2018-24",7272.65986053306,44,25333.9998843846,4.88591150465707,31.2452972690117
"2018-25",8311.25283986949,92,18156.827582421,3.7785477162322,31.4557716562074
"2018-26",21921.5752604438,92,44741.7443902423,1.9477662019924,5.6279385416166
"2018-27",8977.28429892158,47,29437.3704109774,4.01679191598172,20.4610199445281
"2018-28",16914.6155696938,304,34813.6148415771,2.81198279055268,12.4010378945956
"2018-29",10405.6370753162,35,33581.6303729488,4.10242013057938,21.5411688557871
"2018-30",13043.6771343371,43,35471.1366239146,2.99588951697176,11.4605455842064
"2018-31",7044.94177261217,29,25189.9299835709,4.49691680568929,24.345527382153
"2018-32",7814.01477804388,28,26497.5993616139,4.37114162019353,24.8416980612626
"2018-33",2989.27905935145,19,13773.1572932436,9.00321722353304,107.210906053064
"2018-34",2615.38291245487,25,12451.3003757356,11.6004711890509,191.54505399537
"2018-35",3499.43093821419,26,14049.4036069756,9.49813438197127,134.021650902873
"2018-36",2990.67850505838,29,14122.7696737325,11.1079772886175,179.365755670691
"2018-37",2492.58563045761,26,12110.5800559866,11.4474923009716,184.380180718733
"2018-38",2462.34727434592,20,12739.1138675827,11.1772289303836,172.664351184514
"2018-39",2480.64419844923,23,13510.0999175083,13.2077170433728,244.974349318415
"2018-40",2664.89134051346,30,12543.4797467211,11.0078343463858,180.759224653531
"2018-41",8337.15288967677,32,28919.7693233958,4.14634013263129,20.7544818366492
"2018-42",9534.02830688534,32,31092.0536643835,3.82924060449026,17.7518636523602
"2018-43",8713.90762648555,37,29906.3343189741,4.35592608215578,24.0021916646587
"2018-44",8816.54946193983,38,28722.4841950369,4.0438233136484,19.9793778483983
"2018-45",6223.07693974866,28,25322.5305555841,5.07883386396383,30.3684495752444
"2018-46",6358.87532333174,27,25717.4721047658,5.06375281955738,30.8268950720483
"2018-47",6392.78542842126,37,24374.9152520897,5.40038160901413,37.7667243494214
"2018-48",6242.74400034627,28,24585.8091304346,5.41734440111174,36.0476716842789
"2018-49",8023.56481313705,27,29209.3196698076,4.52477408513944,24.984774981519
"2018-50",7891.60071463056,38,28575.4870403686,4.56423299725208,24.7246393341144
"2018-51",9945.89011874945,33,33903.2259605862,3.87891894441066,17.7553352972377
"2018-52",13220.0862837802,21,42349.6164560243,3.44303272760997,13.9224644821622
"2019-01",11158.2056295047,23,36933.7283885776,3.53554334542658,14.8670564470826
"2019-02",1943.10302374342,15,11862.5823866033,13.7338946091301,261.245161710189
"2019-03",1912.47823424949,15,12118.6124484727,13.660766974707,249.90695742746
"2019-04",1899.85999225488,16,11606.0663286719,13.7076587738315,260.21723389973
"2019-05",1995.7645902868,14,11630.0402721851,11.9961814377355,197.606982860118
"2019-06",1980.90158467519,15,11589.4101836854,12.9751642822745,233.648061559867
"2019-07",2392.88098671936,23,10966.6752611285,10.5590085287413,167.293563553061
"2019-08",2419.94369352444,18,14959.0097360364,14.1396779673748,260.201836991653
"2019-09",2028.99844743777,14,11670.1129522717,11.8946770972948,199.83931312823
"2019-10",2799.76895945762,26,14099.875505041,10.8878678005885,173.243158874518
"2019-11",2402.97013618562,27,13207.1174356567,11.0132681318441,165.888752669566
"2019-12",2205.50797399824,25,13156.7041144308,13.4277468821451,248.154596899098
"2019-13",2612.72804508029,19,13716.1594098641,9.94874592984943,133.292732910855
"2019-14",2280.60429302453,26,12496.1449696958,11.7200751808946,191.692610290491
"2019-15",2315.95095857091,18,12702.2655402303,11.3249958795282,179.189131570537
"2019-16",1990.13817786133,26,11317.8792029225,14.6205317210854,306.523564817231
"2019-17",1922.19343837089,17,11335.1461735763,12.3388873528959,219.723159735515
"2019-18",2108.96060923544,21,12565.770439059,12.4162132415156,213.41582837267
"2019-19",2453.35747573961,34,13347.2052961064,12.4356128182669,225.2360126156
"2019-20",3210.77284491192,43,16033.9836968135,10.9004349056697,167.413255415622
"2019-21",2367.6895603513,30,12525.1220440207,11.7422694972517,195.219763051178
"2019-22",2701.53679461098,38,13659.0455912283,10.5852830736697,159.599216043367
"2019-23",2203.05016406113,27,13051.0465609327,13.071745073076,229.758845032299
"2019-24",2525.19621522569,34,14017.9705064262,11.835992089512,183.725188782637
"2019-25",3313.10792743221,35,15910.1883846725,10.2031071052299,150.733929825277
"2019-26",4366.94407181553,42,18722.5985471629,8.10486069208787,95.3126888085953
"2019-27",3391.05384586196,26,16247.3817782563,8.9990936386811,115.739690823729
"2019-28",3305.12966105075,32,16196.6399370697,10.2423476860311,145.637605062549
"2019-29",3153.77784471464,34,15073.4858346667,10.0218821516423,144.578838508017
"2019-30",2991.09766897112,27,15539.4587687125,10.5315398494692,151.840043014905
"2019-31",2603.49363561256,25,13695.006154513,11.9623866350031,198.398474203838
"2019-32",3969.90513377509,38,17310.3068586611,8.19016843598143,94.7708027180597
"2019-33",2649.03115214917,28,14354.6347573462,11.5326902187338,177.598325467128
"2019-34",2707.1645809081,28,14692.0758990457,12.7124969179514,213.615877260359
"2019-35",2412.59596929505,23,13504.2404120963,11.9430750365782,194.15669369181
"2019-36",3364.20458897312,26,16956.6609411111,8.73599621468338,103.217000600367
"2019-37",2936.66201223722,32,14603.5515359698,11.0319575271975,165.675855161774
"2019-38",2909.1474400861,22,13930.0357792872,10.6142518620002,164.403851123814
"2019-39",2246.20911078094,23,12466.6432402215,13.0905122581419,236.172290513356
"2019-40",2182.35445537008,20,12745.8080094012,12.6173249896981,208.519378451051
"2019-41",2221.0982328633,19,13203.6831389711,13.7262416328733,255.715827362434
"2019-42",2349.18683431245,21,14044.110731658,13.4311509417005,243.153276312231
"2019-43",2727.38437861797,35,13696.6059118634,12.2558372654604,205.920341502077
"2019-44",2819.87255423625,35,13543.0441849372,11.5984468701502,186.087239897137
"2019-45",2642.1381153381,38,12898.7259728939,12.4391407246446,208.685855684555
"2019-46",9328.55538847606,70,23566.1933939843,3.97529749592827,27.9986828384116
"2019-47",2468.8350278332,24,13689.2980177183,13.0497572337724,232.185720628226
"2019-48",2299.27715433696,29,12905.3001120228,13.1223099176122,236.847105994516
